country,Year,inequality,inflation,GDP,Unemployment
Turkey,2017,0.43531784,11.144311,28193.174,10.82
Turkey,2018,0.42441496,16.332464,28652.21,10.89
Turkey,2019,0.43833852,15.176822,28476.684,13.67
Turkey,2020,0.43045104,12.278957,28726.191,13.11
Turkey,2021,0.4436487,19.596493,31722.16,11.98
Ukraine,2002,0.29045695,0.75742084,8765.683,10.14
Ukraine,2003,0.28664893,5.179678,9678.087,9.06
Ukraine,2004,0.28934017,9.048068,10902.038,8.59
Ukraine,2005,0.29020715,13.569576,11319.511,7.18
Ukraine,2006,0.29794392,9.052525,12259.158,6.81
Ukraine,2007,0.27012688,12.838779,13345.771,6.35
Ukraine,2008,0.2663823,25.226461,13719.271,6.36
Ukraine,2009,0.25316665,15.881192,11694.448,8.84
Ukraine,2010,0.24818976,9.3729315,12221.44,8.1
Ukraine,2011,0.24551843,7.9557247,12933.356,7.85
Ukraine,2012,0.24740657,0.56872797,12985.087,7.53
Ukraine,2013,0.24554986,-0.23894863,13020.601,7.17
Ukraine,2014,0.24025366,12.0718565,12385.813,9.27
Ukraine,2015,0.2545754,48.699863,11216.118,9.14
Ukraine,2016,0.25002202,13.91271,11536.316,9.35
Ukraine,2017,0.26049048,14.438323,11860.561,9.5
Ukraine,2018,0.26071486,10.951856,12336.927,8.8
Ukraine,2019,0.26619467,7.8867173,12804.955,8.19
Ukraine,2020,0.25627363,2.7324922,12407.79,9.48
